,Category,Text
0,SeekingMoreInfo,I would like to know more about your services.
1,OutOfOffice,"Thank you for your email, I am currently on annual leave until the 16th October.
If your enquiry is of an urgent nature, please contact the International Division on 0207 9404460 or lukes@carnival.com and they will be delighted to assist."
2,ReferredSomeone,"Donovan is no longer with Inspire-Tech with effect from 11 Aug 2020. For finance matters, please contact accounts@inspire-tech.com."
3,OutOfOffice,"I will be out of the office until 1/4. If you need to reach me please call my cell 607-759-1433.
For manufacturing questions please contact:
Dallas Winchell for Power End components 607-937-2227.
Liz Prutsman for General machining 607-937-2328
For shipping and receiving issues please contact Chris Blake- 607-937-2823"
4,OutOfOffice,"Thank you for your email. I am currently out of the office, returning on Monday, July 20, 2020. I will have somewhat limited access to email during this time. Please excuse any delay in response.
Please reach out to Lindsay Sharp in my absence at Lindsay.sharp@abbvie.com
For urgent matters, please text me at 585-329-8222. Have a great week!"
5,Unsubscribed,Pls stop emailing
6,AgreedToMeet,Thanks Mehal. Please share your mobile number guys.
7,OutOfOffice,"I will be on maternity leave effective June 28, 2019. Please contact Stacey Cameron in my absence. For immediate assistance, please call 780-452-6655."
8,OutOfOffice,"I am out office, with limited access to mail and phone, Please expect delay, For any query / hiring related matter please contact my below team members.
Consumer Assets - Lakshay Taneja"
9,ConnectLater,"Good Morning!
Thanks for your mail. In current scenario, we are cautious of hiring and freeze the process till March 2021.
Will surely get back once the requirement comes.
Keep in touch."
10,ConnectLater,"I hope you and your family are safe and stay at home.
Due to COVID 19 all expenses are hold by our management, I don‚Äôt think same
will be considered in this financial year.
I will revert you once we get any chance to add the same in our company."
11,OutOfOffice,"Thank you for your mail. I am presently out of office and will be back on 6th of January 2021.
E-Mails will not be forwarded. I will reply to your message upon my return.
Please note:
Due to christmas and new year holidays the office is closed in the period from 2020-12-23 to 2021-01-03
In urgent cases please leave a message on mobile phone no. +49 151 15000078."
12,SeekingMoreInfo,Thanks can you share some case studies & demo videos ?
13,AgreedToMeet,"We have 2 openings again.
Ayurveda Doctors
Salary - 20,000.
For teleconsultation in English hence need to have a high proficiency in
English."
14,OutOfOffice,"I am currently out of the office for the Christmas holiday, returning on Thursday, January 2. I will have access to email however my response may be delayed. For anything urgent, please call/text me at 704-303-2032."
15,Unsubscribed,Unsubscribe
16,AgreedToMeet,"Yes, I am interested. But due to Pandemic cannot travel to India, can you
give me the cost Idea for 12-15 days stay for Weight management, Diabetes
and blood pressure treatment,
I am 65 years old height 5ft. 6inches, weigt: 175 pound.
Please let me know the brief treatment idea"
17,OutOfOffice,"Hello. I'm out of the office until Monday. I'll check messages and respond to anything urgent as soon as possible. Thanks, Thad"
18,Unsubscribed,This is not Abhini‚Äôa account and kindly not email further.
19,AgreedToMeet,"Thanks Anurag
As discussed, sharing our standard engagement letter
if this is fine, Deepika from my team would send you the engagement letter
and you can send us the signed one for our record
and post that we can share our MRNs (manpower recruitment notifications)
we are in urgent need of candidates
also please note that we have tie up with many agencies and we share the
same MRNs
at some time, candidates becomes same, in that case we take the
candidate's CV we received it first, that we consider - fyi and record"
20,OutOfOffice,"I will be off on vacation starting Monday June 29th, until Monday, July 6th. I will periodically be checking email and respond if there is anything urgent that comes up but it may be delayed. If you have any emergencies you can call my cell phone. I hope that you all have a great 4th of July holiday break! Thank you!"
21,OutOfOffice,"Thank you for your email. I am currently out of the office until 6/22/2020. If you need anything in the interim, please reach out to Jamie Richardson at jrichardson@sandata.com<mailto:dtocco@sandata.com> or at 516..484.4400 x4163. Have a great week!"
22,Deactivated,"Thank you for the mail, at present we've slowed down on our manpower
requirement due to lockdown situation and at present don't have any
business opportunity to offer you, but sure once we resume with our full
business operations as before lockdown, we shall definitely be in
communication with you for any business opportunities."
23,Deactivated,Thanks Myra for reaching out but this is of no interest to me.
24,Deactivated,"Cosmin is a collaborator of ours, I have sent your email further and I
think he already responded on LikedIn that he is not interested."
25,OutOfOffice,Our office is closed till 16th Nov. WIsh you a very Happy Diwali.
26,OutOfOffice,"I am on a planned leave with no access to emails. I will respond to your email upon my return on 21st Dec.
Please contact Swapnil Rathod/Rachna Bhagat in case of urgency."
27,OutOfOffice,Our Office is closed on 1st May 2020 on account of Labour Day. I will have intermittent access to emails. Please expect a delay in my response.
28,OutOfOffice,I will be out of the office September 9 thru September 11
